slug;wd;cura5;ertel;fr;en;parents;IG
aircraft-pilot;Q2095549;AVI;AIRP;Aviateur;Aircraft pilot;sportsperson;I
Badminton-player;Q13141064;;BADM;Joueur de badminton;Badminton player;sportsperson;I
Baseball-player;Q10871364;;BASE;Joueur de baseball;Baseball player;sportsperson;G
Basketball-player;Q3665646;BAS;BASK;Joueur de basket-ball;Basketball player;sportsperson;G
Billard-player;Q18544928;BIL;BILL;Joueur de billard;Billard player;sportsperson;I
bobsledder;Q177275;;BOBS;Pilote de bobsleigh;Bobsleigh pilot;winter-sports-practitioner;I
bowler;Q4951095;;BOWL;Joueur de bowling;Bowling player;sportsperson;I
boxer;Q11338576;BOX;BOXI;Boxeur;Boxer;sportsperson;I
canoeist-kayaker;Q13382566+Q16004471;CAN;CANO;Canoëiste-kayakeur;Canoe-kayaker;sportsperson;I
mountaineer;Q9149093;;ALPI;Alpiniste;Mountaineer;sportsperson;I
cyclist;Q2125610;CYC;CYCL;Cycliste;Cyclist;sportsperson;I
equestrian;Q2730732;EQU;HORS;Cavalier;Equestrian;sportsperson;I
fencer;Q13381863;ESC;FENC;Escrimeur;Fencer;sportsperson;I
field-hockey-player;Q10843263;HOC;HOCK;Joueur de hockey sur gazon;Field hockey player;sportsperson;G
american-football-player;Q19204627;FOO;FOOT;Joueur de football américain;American football player;sportsperson;G
golfer;Q11303721;GOL;GOLF;Joueur de golf;Golfer;sportsperson;I
gymnast;Q16947675;GYM;GYMN;Gymnaste;Gymnast;sportsperson;I
handball-player;Q12840545;HAN;HAND;Joueur de handball;Handball player;sportsperson;G
judoka;Q6665249;;JUDO;Judoka;Judoka;sportsperson;I
motor-sports-competitor;Q30339659;AUT;AUTO;Compétiteur de sport automobile;Motor sports competitor;sportsperson;I
basque-pelota-player;Q19746576;PEL;PELO;Joueur de pelote basque;Basque pelota player;sportsperson;G
race-walker;Q17405793;MAR;WALK;Marcheur athlétique;Race walker;sportsperson;I
rodeo-rider;Q21517059;ROD;RODE;Cavalier de rodéo;Rodeo rider;sportsperson;I
roller-skater;Q61278580;PAT;ROLL;Patineur à roulettes;Roller skate;sportsperson;I
rower;Q13382576;AVR;AVIR+ROWI;Avironeur;Rower;sportsperson;I
rugby-player;Q13415036;RUG;RUGB;Joueur de rugby;Rugby player;sportsperson;G
sport-sailer;Q476246;VOI;YACH;Skipper;Sport sailer;sportsperson;I
sport-shooter;Q17486376;TIR;SHOO;Tireur sportif;Sport shooter;sportsperson;I
skier;Q4270517;SKI;SKII;Skieur;Skier;winter-sports-practitioner;I
swimmer;Q10843402;NAT;SWIM;Nageur;Swimmer;sportsperson;I
tennis-player;Q10833314;TEN;TENN;Joueur de tennis;Tennis player;sportsperson;I
athletics-competitor;Q11513337;ATH;TRAC+TRAV;Athléte;Athletics competitor;sportsperson;I
volleyball-player;Q15117302;VOL;VOLL;Joueur de volley-ball;Volleyball player;sportsperson;G
weightlifter;Q13381376;HAL;WEIG;Haltérophile;Weightlifter;sportsperson;I
winter-sports-practitioner;Q20965770;GLA;ICES;Pratiquant de sports d’hiver;Winter-sports;sportsperson;
wrestler;Q13474373;LUT;WRES;Lutteur (catch);Wrestler;sportsperson;I
